Time,CPU(%),RAM(MB)
2025-12-11 21:46:42,0.0,21.1
2025-12-11 21:46:47,0.0,21.1
2025-12-11 21:46:52,0.0,21.1
2025-12-11 21:46:57,0.0,21.1
2025-12-11 21:47:03,0.0,21.1
2025-12-11 21:47:08,0.0,21.1
2025-12-11 21:47:13,0.0,21.1
2025-12-11 21:47:18,0.0,21.1
2025-12-11 21:47:23,0.0,21.1
2025-12-11 21:47:28,0.0,21.1
2025-12-11 21:47:33,0.0,21.1
2025-12-11 21:47:38,0.0,21.1
2025-12-11 21:47:44,0.0,21.1
2025-12-11 21:47:49,0.0,21.1
2025-12-11 21:47:54,0.0,21.1
2025-12-11 21:47:59,0.0,21.1
2025-12-11 21:48:04,0.0,21.1
2025-12-11 21:48:09,0.0,21.1
2025-12-11 21:48:14,0.0,21.1
2025-12-11 21:48:19,0.0,21.1
2025-12-11 21:48:24,0.0,21.1
2025-12-11 21:48:30,0.0,21.1
2025-12-11 21:48:35,0.0,21.1
2025-12-11 21:48:40,0.0,21.1
2025-12-11 21:48:45,0.0,21.1
2025-12-11 21:48:50,0.0,21.1
2025-12-11 21:48:55,0.0,21.1
2025-12-11 21:49:00,0.0,21.1
2025-12-11 21:49:05,0.0,21.1
2025-12-11 21:49:10,0.0,21.1
2025-12-11 21:49:16,0.0,21.1
2025-12-11 21:49:21,0.0,21.1
2025-12-11 21:49:26,0.0,21.1
2025-12-11 21:49:31,0.0,21.1
2025-12-11 21:49:36,0.0,21.1
2025-12-11 21:49:41,0.0,21.1
2025-12-11 21:49:46,0.0,21.1
2025-12-11 21:49:51,0.0,21.1
2025-12-11 21:49:56,0.0,21.1
2025-12-11 21:50:02,0.0,21.1
2025-12-11 21:50:07,0.0,21.1
2025-12-11 21:50:12,16.6,21.1
2025-12-11 21:50:17,0.0,18.3
2025-12-11 21:50:22,0.0,18.3
2025-12-11 21:50:27,0.0,18.3
2025-12-11 21:50:32,0.0,18.3
2025-12-11 21:50:37,0.0,18.3
2025-12-11 21:50:43,0.0,18.3
2025-12-11 21:50:48,0.0,18.3
2025-12-11 21:50:53,0.0,18.3
2025-12-11 21:50:58,0.0,18.3
2025-12-11 21:51:03,0.0,18.3
2025-12-11 21:51:08,0.0,18.3
2025-12-11 21:51:13,0.0,18.3
2025-12-11 21:51:18,0.0,18.3
2025-12-11 21:51:23,0.0,18.3
2025-12-11 21:51:29,0.0,18.3
2025-12-11 21:51:34,0.0,18.3
2025-12-11 21:51:39,0.0,18.3
2025-12-11 21:51:44,0.0,18.3
2025-12-11 21:51:49,0.0,18.3
2025-12-11 21:51:54,0.0,18.3
2025-12-11 21:51:59,0.0,18.3
2025-12-11 21:52:04,0.0,18.3
2025-12-11 21:52:09,0.0,18.3
2025-12-11 21:52:15,0.0,18.3
2025-12-11 21:52:20,0.0,18.3
2025-12-11 21:52:25,0.0,18.3
2025-12-11 21:52:30,0.0,18.3
2025-12-11 21:52:35,0.0,18.3
2025-12-11 21:52:40,0.0,18.3
2025-12-11 21:52:45,0.0,18.3
2025-12-11 21:52:50,0.0,18.3
2025-12-11 21:52:56,0.0,18.3
2025-12-11 21:53:01,0.0,18.3
2025-12-11 21:53:06,0.0,18.3
2025-12-11 21:53:11,0.0,18.3
2025-12-11 21:53:16,0.0,18.3
2025-12-11 21:53:21,0.0,18.3
2025-12-11 21:53:26,0.0,18.3
2025-12-11 21:53:31,0.0,18.3
2025-12-11 21:53:36,0.0,18.3
2025-12-11 21:53:42,0.0,18.3
2025-12-11 21:53:47,0.0,18.3
2025-12-11 21:53:52,0.0,18.3
2025-12-11 21:53:57,0.0,18.3
2025-12-11 21:54:02,0.0,18.3
2025-12-11 21:54:07,0.0,18.3
2025-12-11 21:54:12,16.6,18.3
2025-12-11 21:54:17,0.0,18.3
2025-12-11 21:54:22,0.0,18.3
2025-12-11 21:54:28,0.0,18.3
2025-12-11 21:54:33,0.0,18.3
2025-12-11 21:54:38,0.0,18.3
2025-12-11 21:54:43,0.0,18.3
2025-12-11 21:54:48,0.0,18.3
2025-12-11 21:54:53,0.0,18.3
2025-12-11 21:54:58,0.0,18.3
2025-12-11 21:55:03,0.0,18.3
2025-12-11 21:55:08,0.0,18.3
2025-12-11 21:55:14,0.0,18.3
2025-12-11 21:55:19,0.0,18.3
2025-12-11 21:55:24,0.0,18.3
2025-12-11 21:55:29,0.0,18.3
2025-12-11 21:55:34,0.0,18.3
2025-12-11 21:55:39,0.0,18.3
2025-12-11 21:55:44,0.0,18.3
2025-12-11 21:55:49,0.0,18.3
2025-12-11 21:55:54,0.0,18.3
2025-12-11 21:56:00,0.0,18.3
2025-12-11 21:56:05,0.0,18.3
2025-12-11 21:56:10,0.0,18.3
2025-12-11 21:56:15,0.0,18.3
2025-12-11 21:56:20,0.0,18.3
2025-12-11 21:56:25,0.0,18.3
2025-12-11 21:56:30,0.0,18.3
2025-12-11 21:56:35,0.0,18.3
2025-12-11 21:56:40,0.0,18.3
2025-12-11 21:56:46,0.0,18.3
2025-12-11 21:56:51,0.0,18.3
2025-12-11 21:56:56,0.0,18.3
2025-12-11 21:57:01,0.0,18.3
2025-12-11 21:57:06,0.0,18.3
2025-12-11 21:57:11,0.0,18.3
2025-12-11 21:57:16,0.0,18.3
2025-12-11 21:57:21,0.0,18.3
2025-12-11 21:57:27,0.0,18.3
2025-12-11 21:57:32,0.0,18.3
2025-12-11 21:57:37,0.0,18.3
2025-12-11 21:57:42,0.0,18.3
2025-12-11 21:57:47,0.0,18.3
2025-12-11 21:57:52,0.0,18.3
2025-12-11 21:57:57,0.0,18.3
2025-12-11 21:58:02,0.0,18.3
2025-12-11 21:58:07,0.0,18.3
2025-12-11 21:58:13,0.0,18.3
2025-12-11 21:58:18,0.0,18.3
2025-12-11 21:58:23,0.0,18.3
2025-12-11 21:58:28,0.0,18.3
2025-12-11 21:58:33,0.0,18.3
2025-12-11 21:58:38,0.0,18.3
2025-12-11 21:58:43,0.0,18.3
2025-12-11 21:58:48,0.0,18.3
2025-12-11 21:58:53,0.0,18.3
2025-12-11 21:58:59,0.0,18.3
2025-12-11 21:59:04,0.0,18.3
2025-12-11 21:59:09,0.0,18.3
2025-12-11 21:59:14,0.0,18.3
2025-12-11 21:59:19,0.0,18.3
2025-12-11 21:59:24,0.0,18.3
2025-12-11 21:59:29,0.0,18.3
2025-12-11 21:59:34,0.0,18.3
2025-12-11 21:59:39,0.0,18.3
2025-12-11 21:59:45,0.0,18.3
2025-12-11 21:59:50,0.0,18.3
2025-12-11 21:59:55,0.0,18.3
2025-12-11 22:00:00,0.0,18.3
2025-12-11 22:00:05,0.0,18.3
2025-12-11 22:00:10,0.0,18.3
2025-12-11 22:00:15,0.0,18.3
2025-12-11 22:00:20,0.0,18.3
2025-12-11 22:00:25,0.0,18.3
2025-12-11 22:00:31,0.0,18.3
2025-12-11 22:00:36,0.0,18.3
2025-12-11 22:00:41,0.0,18.3
2025-12-11 22:00:46,0.0,18.3
2025-12-11 22:00:51,0.0,18.3
2025-12-11 22:00:56,0.0,18.3
2025-12-11 22:01:01,0.0,18.3
2025-12-11 22:01:06,0.0,18.3
2025-12-11 22:01:12,0.0,18.3
2025-12-11 22:01:17,0.0,18.3
2025-12-11 22:01:22,0.0,18.3
2025-12-11 22:01:27,0.0,18.3
2025-12-11 22:01:32,0.0,18.3
2025-12-11 22:01:37,0.0,18.3
2025-12-11 22:01:42,0.0,18.3
2025-12-11 22:01:47,0.0,18.3
2025-12-11 22:01:52,0.0,18.3
2025-12-11 22:01:58,0.0,18.3
2025-12-11 22:02:03,0.0,18.3
2025-12-11 22:02:08,0.0,18.3
2025-12-11 22:02:13,0.0,18.3
2025-12-11 22:02:18,0.0,18.3
